STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,GRC,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,18.34526,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,FRA,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,19.23779,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,FIN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,19.95223,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,EST,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,19.71043,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,OECD,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,11.15304,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,DEU,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,7.097255,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,OECD,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,11.34971,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SVN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,10.35483,,,,U,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,DNK,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,14.67967,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,DEU,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,6.216222,,,,E,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,SVN,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q2,,11.05492,,,,U,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,CZE,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2025-Q1,,9.909788,,,,A,,0,,1,
